"","V1","V2","V3","V4","V5","V6","V7","V8"
"600",1114498,1,0,1,0,0,0,1
"601",1114499,1,0,0,0,0,0,0
"602",1114547,1,0,1,0,0,0,1
"603",1114548,0,0,0,0,0,0,0
"604",1114549,0,0,0,0,0,0,0
"605",1114551,1,0,0,0,0,0,1
"606",1114559,1,0,1,0,0,0,1
"607",1114567,1,0,1,0,0,0,1
"608",1114569,1,1,1,1,1,1,1
"609",1114571,1,0,1,0,0,0,1
"610",1114573,1,0,1,0,0,0,1
"611",1114575,0,0,0,0,0,0,0
"612",1114576,1,0,1,0,0,0,1
"613",1114577,1,1,0,0,1,0,0
"614",1114579,1,0,1,0,0,0,1
"615",1114580,1,0,1,0,0,1,1
"616",1114583,1,0,1,0,0,0,0
"617",1114584,1,0,1,0,0,0,1
"618",1114586,1,0,1,0,0,0,1
"619",1114587,1,1,1,1,1,1,1
"620",1114588,1,0,1,0,0,1,1
"621",1114590,1,0,1,0,0,0,1
"622",1114591,1,0,1,0,0,0,1
"623",1114594,1,1,1,1,1,1,1
"624",1114595,1,0,1,0,0,0,1
"625",1114597,1,0,1,0,0,0,1
"626",1114599,1,0,1,0,0,0,1
"627",1114600,1,1,1,0,1,0,1
"628",1114602,1,0,1,0,0,0,0
"629",1114603,1,0,1,0,0,0,1
"630",1114607,1,1,0,0,1,0,1
"631",1114608,1,0,1,0,0,0,1
"632",1114614,1,1,1,0,1,1,1
"633",1114615,1,0,1,0,0,0,0
"634",1114616,1,0,1,0,0,0,0
"635",1114619,1,0,1,0,0,0,1
"636",1114623,1,0,1,0,0,1,1
"637",1114624,1,0,1,0,0,0,1
"638",1114626,1,0,1,0,0,0,1
"639",1114628,1,1,1,0,1,0,1
"640",1114629,1,1,1,0,0,1,0
"641",1114634,1,1,1,0,1,1,1
"642",1114636,1,0,1,0,0,1,1
"643",1114640,1,1,1,0,1,0,1
"644",1115003,1,0,1,0,0,0,1
"645",1115007,1,0,0,0,1,0,1
"646",1115008,1,0,1,0,0,0,1
"647",1115010,1,1,1,1,1,0,1
"648",1115012,1,0,1,0,0,0,1
"649",1115017,1,0,1,0,0,0,1
"650",1115018,1,0,1,0,0,0,0
"651",1115019,1,1,1,0,1,1,1
"652",1115022,1,0,1,0,0,0,1
"653",1115023,1,1,0,0,1,0,1
"654",1115024,1,0,1,0,0,0,1
"655",1115026,1,0,1,0,0,0,1
"656",1115028,1,1,1,0,1,1,1
"657",1115029,1,1,1,0,0,0,1
"658",1115033,1,0,1,0,0,0,1
