"","id","region","takeup_survey","age","agpop","educ","rice_inc","ricearea_2010","disaster_loss","insurance_repay","insurance_buy","disaster_prob","general_trust","male","default","delay","intensive","info_takeup_rate","info_takeup_list","info_none","understanding","day","risk_averse","literacy","educ_good","reveal","disaster_yes","address","village"
"1343",2221029,2,1,47,3,2,100,14,NA,0,1,60,0,1,1,1,0,1,0,0,0.60000002,20,1,1,1,NA,0,180,36
"1344",2221031,2,1,46,4,2,100,15,50,0,1,50,1,1,1,1,0,0,1,0,0.40000001,20,0.80000001,1,1,NA,1,180,36
"1345",2221033,2,1,40,4,2,100,10,20,1,1,30,1,1,1,0,1,0,0,1,1,18,0.60000002,1,1,0,1,180,36
"1346",2221142,2,0,58,3,0,50,8,60,0,0,50,1,1,0,1,1,0,1,0,0,20,1,0,0,NA,1,182,36
"1347",2221146,2,0,66,10,0,25,4,60,1,1,30,1,1,0,0,0,0,0,1,0.2,19,0,0,0,1,1,182,36
"1348",2221147,2,0,60,6,0,100,12,NA,1,1,20,1,0,0,0,0,0,0,1,0,19,0.19999999,0,0,NA,0,182,36
"1349",2221150,2,0,55,1,0,100,2.29999995231628,NA,0,0,10,1,0,0,1,0,0,1,0,0.2,20,0,0,0,NA,0,182,36
"1350",2221157,2,0,39,5,0,10,2,NA,0,1,50,1,1,0,1,1,1,0,0,0.2,20,0,0,0,NA,0,182,36
"1351",2221163,2,1,39,5,2,60,9,NA,0,0,20,1,1,0,1,0,0,1,0,0.40000001,20,0,1,1,NA,0,182,36
"1352",2221166,2,1,36,6,2,30,9,35,1,1,30,1,1,0,1,0,1,0,0,0.60000002,20,0.60000002,1,1,NA,1,182,36
"1353",2221167,2,1,42,4,2,100,38,40,1,1,20,1,1,0,1,0,0,0,1,0.60000002,20,0,1,1,NA,1,182,36
"1354",2221169,2,0,41,4,0,95,6,NA,0,1,50,1,0,0,0,1,0,0,1,0,19,0,0,0,0,0,182,36
"1355",2221172,2,1,40,4,1,60,15,20,1,1,40,1,1,0,1,1,0,1,0,0.60000002,20,0,1,0,NA,1,182,36
"1356",2221176,2,1,39,5,2,90,20,30,1,1,70,1,1,0,1,1,1,0,0,0.2,20,0.80000001,1,1,NA,1,182,36
"1357",2221177,2,1,42,4,2,80,7,40,1,1,20,0,1,0,1,1,0,0,1,0.40000001,20,0,1,1,NA,1,182,36
"1358",2221181,2,1,34,4,1,60,20,NA,0,0,30,0,1,0,1,0,1,0,0,0.60000002,20,0,1,0,NA,1,182,36
"1359",2221183,2,1,30,6,3,80,20,40,1,1,20,1,1,0,0,0,0,0,1,0.60000002,19,0.80000001,1,1,0,1,182,36
